Id,Predicted
0,comedy
1,horror
2,drama
3,horror
4,comedy
5,drama
6,drama
7,drama
8,comedy
9,western
10,romance
11,comedy
12,drama
13,romance
14,drama
15,action
16,comedy
17,drama
18,comedy
19,adventure
20,comedy
21,drama
22,comedy
23,drama
24,drama
25,comedy
26,drama
27,action
28,comedy
29,drama
30,comedy
31,drama
32,drama
33,drama
34,drama
35,drama
36,drama
37,western
38,drama
39,comedy
40,drama
41,comedy
42,comedy
43,action
44,drama
45,comedy
46,drama
47,drama
48,comedy
49,drama
50,drama
51,comedy
52,comedy
53,comedy
54,horror
55,comedy
56,comedy
57,drama
58,drama
59,crime
60,comedy
61,action
62,drama
63,drama
64,comedy
65,drama
66,western
67,drama
68,western
69,crime
70,drama
71,drama
72,drama
73,action
74,action
75,crime
76,drama
77,western
78,comedy
79,comedy
80,western
81,drama
82,drama
83,drama
84,drama
85,crime
86,western
87,comedy
88,drama
89,comedy
90,drama
91,horror
92,comedy
93,comedy
94,drama
95,drama
96,drama
97,western
98,drama
99,drama
100,comedy
101,comedy
102,comedy
103,drama
104,drama
105,comedy
106,comedy
107,drama
108,drama
109,comedy
110,drama
111,drama
112,comedy
113,drama
114,drama
115,drama
116,drama
117,drama
118,drama
119,drama
120,drama
121,comedy
122,romance
123,drama
124,comedy
125,drama
126,comedy
127,drama
128,western
129,drama
130,drama
131,horror
132,comedy
133,comedy
134,horror
135,drama
136,comedy
137,comedy
138,horror
139,comedy
140,western
141,drama
142,comedy
143,drama
144,comedy
145,drama
146,drama
147,drama
148,drama
149,horror
150,drama
151,western
152,comedy
153,comedy
154,comedy
155,drama
156,drama
157,drama
158,horror
159,comedy
160,adventure
161,comedy
162,drama
163,drama
164,drama
165,action
166,comedy
167,action
168,drama
169,drama
170,comedy
171,drama
172,drama
173,comedy
174,drama
175,comedy
176,drama
177,western
178,drama
179,horror
180,drama
181,comedy
182,comedy
183,drama
184,comedy
185,drama
186,drama
187,drama
188,comedy
189,drama
190,comedy
191,action
192,action
193,drama
194,drama
195,drama
196,drama
197,drama
198,horror
199,drama
200,drama
201,western
202,action
203,drama
204,drama
205,horror
206,drama
207,drama
208,horror
209,romance
210,comedy
211,comedy
212,drama
213,drama
214,western
215,drama
216,drama
217,drama
218,action
219,drama
220,comedy
221,drama
222,drama
223,drama
224,drama
225,comedy
226,drama
227,action
228,drama
229,drama
230,horror
231,comedy
232,comedy
233,drama
234,drama
235,drama
236,drama
237,drama
238,drama
239,adventure
240,drama
241,comedy
242,comedy
243,comedy
244,horror
245,drama
246,drama
247,western
248,drama
249,action
250,comedy
251,drama
252,drama
253,comedy
254,western
255,drama
256,comedy
257,drama
258,drama
259,drama
260,comedy
261,drama
262,romance
263,drama
264,action
265,comedy
266,comedy
267,western
268,drama
269,horror
270,drama
271,comedy
272,comedy
273,drama
274,drama
275,drama
276,comedy
277,comedy
278,drama
279,comedy
280,comedy
281,comedy
282,drama
283,drama
284,drama
285,comedy
286,western
287,drama
288,drama
289,drama
290,drama
291,drama
292,comedy
293,thriller
294,drama
295,drama
296,drama
297,western
298,action
299,comedy
300,drama
301,comedy
302,western
303,action
304,comedy
305,comedy
306,drama
307,action
308,comedy
309,comedy
310,comedy
311,comedy
312,comedy
313,drama
314,comedy
315,drama
316,comedy
317,drama
318,adventure
319,drama
320,comedy
321,drama
322,drama
323,drama
324,drama
325,drama
326,comedy
327,horror
328,drama
329,drama
330,western
331,drama
332,drama
333,drama
334,comedy
335,horror
336,drama
337,comedy
338,drama
339,drama
340,horror
341,drama
342,western
343,drama
344,western
345,drama
346,crime
347,drama
348,drama
349,action
350,drama
351,drama
352,drama
353,drama
354,drama
355,drama
356,comedy
357,drama
358,comedy
359,drama
360,drama
361,crime
362,drama
363,horror
364,drama
365,comedy
366,comedy
367,western
368,western
369,horror
370,drama
371,drama
372,western
373,comedy
374,thriller
375,comedy
376,western
377,western
378,drama
379,comedy
380,comedy
381,action
382,drama
383,horror
384,drama
385,western
386,comedy
387,drama
388,comedy
389,action
390,drama
391,western
392,drama
393,comedy
394,comedy
395,crime
396,comedy
397,comedy
398,drama
399,drama
400,comedy
401,comedy
402,comedy
403,comedy
404,horror
405,drama
406,drama
407,drama
408,drama
409,drama
410,drama
411,drama
412,horror
413,drama
414,drama
415,comedy
416,comedy
417,drama
418,drama
419,drama
420,drama
421,drama
422,drama
423,comedy
424,comedy
425,drama
426,drama
427,drama
428,drama
429,horror
430,drama
431,comedy
432,horror
433,western
434,comedy
435,action
436,drama
437,drama
438,drama
439,drama
440,drama
441,comedy
442,comedy
443,comedy
444,drama
445,drama
446,drama
447,horror
448,comedy
449,comedy
450,drama
451,western
452,drama
453,action
454,thriller
455,drama
456,action
457,adventure
458,comedy
459,horror
460,drama
461,drama
462,western
463,drama
464,drama
465,western
466,horror
467,western
468,drama
469,comedy
470,comedy
471,drama
472,horror
473,comedy
474,horror
475,comedy
476,drama
477,action
478,drama
479,action
480,comedy
481,action
482,adventure
483,drama
484,comedy
485,comedy
486,action
487,western
488,drama
489,action
490,comedy
491,horror
492,romance
493,comedy
494,adventure
495,comedy
496,drama
497,crime
498,drama
499,comedy
500,comedy
501,drama
502,drama
503,drama
504,comedy
505,drama
506,drama
507,romance
508,romance
509,comedy
510,drama
511,drama
512,comedy
513,horror
514,drama
515,drama
516,drama
517,comedy
518,drama
519,comedy
520,western
521,comedy
522,drama
523,drama
524,comedy
525,drama
526,romance
527,drama
528,drama
529,horror
